Time,Lat,Long,Diff From Last,Diff From Home
20:16:52.205,39.72042167,-104.706285,0.000142547,0.011725528
20:16:53.597,39.72042167,-104.706285,0,0.011725528
20:16:54.701,39.72042333,-104.706285,0.000185325,0.011741627
20:16:55.997,39.72042333,-104.706285,0,0.011741627
20:16:56.701,39.72042333,-104.706285,0,0.011741627
20:16:57.101,39.72042333,-104.706285,0,0.011741627
20:16:57.597,39.720425,-104.706285,0.000185325,0.011760625
20:16:57.701,39.720425,-104.706285,0,0.011760625
20:16:59.397,39.720425,-104.706285,0,0.011760625
20:17:01.301,39.720425,-104.706285,0,0.011760625
20:17:01.397,39.720425,-104.7062867,0.000142547,0.011618959
20:17:02.101,39.72042667,-104.7062867,0.000185325,0.011641107
20:17:02.301,39.72042667,-104.7062867,0,0.011641107
20:17:03.301,39.72042667,-104.7062867,0,0.011641107
20:17:03.404,39.72042667,-104.7062867,0,0.011641107
20:17:04.205,39.72042667,-104.7062867,0,0.011641107
20:17:04.300,39.72042667,-104.7062867,0,0.011641107
20:17:04.796,39.72042667,-104.7062867,0,0.011641107
20:17:05.204,39.72042667,-104.7062867,0,0.011641107
20:17:05.596,39.72042667,-104.7062867,0,0.011641107
20:17:05.900,39.72042667,-104.7062867,0,0.011641107
20:17:06.796,39.72042667,-104.7062867,0,0.011641107
20:17:07.500,39.72042667,-104.7062867,0,0.011641107
20:17:08.900,39.720425,-104.7062867,0.000185325,0.011618959
20:17:09.500,39.720425,-104.7062867,0,0.011618959
20:17:09.700,39.72042333,-104.706285,0.000233805,0.011741627
20:17:09.900,39.72042167,-104.706285,0.000185325,0.011725528
20:17:10.100,39.72042,-104.7062833,0.000233805,0.011854604
20:17:10.204,39.72042,-104.7062833,0,0.011854604
20:17:10.396,39.72041833,-104.7062833,0.000185325,0.01184446
20:17:10.500,39.72041833,-104.7062833,0,0.01184446
20:17:10.604,39.72041667,-104.7062833,0.000185325,0.011837208
20:17:10.700,39.72041667,-104.7062833,0,0.011837208
20:17:10.796,39.720415,-104.7062817,0.000233805,0.011975385
20:17:10.900,39.720415,-104.7062817,0,0.011975385
20:17:11.004,39.72041333,-104.7062817,0.000185325,0.011973951
20:17:11.100,39.72041333,-104.70628,0.000142547,0.012116497
20:17:11.204,39.72041167,-104.7062783,0.000233805,0.012260445
20:17:11.300,39.72041167,-104.7062783,0,0.012260445
20:17:11.404,39.72041,-104.7062767,0.000233805,0.012407129
20:17:11.500,39.72040833,-104.706275,0.000233805,0.012556453
20:17:11.604,39.72040833,-104.706275,0,0.012556453
20:17:11.700,39.72040667,-104.7062733,0.000233805,0.012708324
20:17:11.900,39.720405,-104.7062717,0.000233805,0.012862652
20:17:12.004,39.720405,-104.7062717,0,0.012862652
20:17:12.100,39.720405,-104.70627,0.000142547,0.013004832
20:17:12.204,39.72040333,-104.70627,0.000185325,0.013019349
20:17:12.300,39.72040333,-104.7062683,0.000142547,0.013161381
20:17:12.396,39.72040167,-104.7062683,0.000185325,0.013178332
20:17:12.500,39.7204,-104.7062667,0.000233805,0.013339518
20:17:12.596,39.7204,-104.706265,0.000142547,0.013481191
20:17:12.700,39.72039833,-104.706265,0.000185325,0.013502829
20:17:12.804,39.72039833,-104.706265,0,0.013502829
20:17:12.900,39.72039667,-104.7062633,0.000233805,0.013668188
20:17:13.100,39.720395,-104.7062633,0.000185325,0.013694547
20:17:13.204,39.720395,-104.7062633,0,0.013694547
20:17:13.300,39.72039333,-104.7062633,0.000185325,0.013723358
20:17:13.396,39.72039167,-104.7062617,0.000233805,0.013894972
20:17:13.500,39.72039167,-104.70626,0.000142547,0.014035381
20:17:13.596,39.72039,-104.7062583,0.000233805,0.014208504
20:17:13.700,39.72038833,-104.7062583,0.000185325,0.014243511
20:17:13.796,39.72038667,-104.7062567,0.000233805,0.014420307
